star,mv,bvcolor,observation_id
1326,10.3078830676146,1.56,j142.98
1326,10.3078830676146,1.56,j96.427
1326,10.3078830676146,1.56,j130.1897
1326,10.3078830676146,1.56,j136.67
1326,10.3078830676146,1.56,j190.102
1326,10.3078830676146,1.56,j143.81
1326,10.3078830676146,1.56,j251.266
1326,10.3078830676146,1.56,j884.131
1326,10.3078830676146,1.56,j194.156
1326,10.3078830676146,1.56,j161.298
1326,10.3078830676146,1.56,j347.102
1326,10.3078830676146,1.56,j180.917
1326,10.3078830676146,1.56,j127.531
1326,10.3078830676146,1.56,j142.97
1326,10.3078830676146,1.56,j180.918
1326,10.3078830676146,1.56,j56.1685
1326,10.3078830676146,1.56,j130.510
1326,10.3078830676146,1.56,j183.414
1326,10.3078830676146,1.56,j131.518
1326,10.3078830676146,1.56,j135.108
1326,10.3078830676146,1.56,j220.111
1326,10.3078830676146,1.56,j161.297
1326,10.3078830676146,1.56,j127.304
1326,10.3078830676146,1.56,j26.958
1326,10.3078830676146,1.56,j130.290
1326,10.3078830676146,1.56,j124.515
1326,10.3078830676146,1.56,j56.2178
1326,10.3078830676146,1.56,j157.528
1326,10.3078830676146,1.56,j156.1016
1326,10.3078830676146,1.56,j09.240
1326,10.3078830676146,1.56,j156.1981
1326,10.3078830676146,1.56,j158.341
1326,10.3078830676146,1.56,j130.2114
1326,10.3078830676146,1.56,j121.170
1326,10.3078830676146,1.56,j896.117
1326,10.3078830676146,1.56,j129.105
1326,10.3078830676146,1.56,j08.1272
1326,10.3078830676146,1.56,j802.210
1326,10.3078830676146,1.56,j137.635
1326,10.3078830676146,1.56,j184.163
1326,10.3078830676146,1.56,j347.100
1326,10.3078830676146,1.56,j122.785
1326,10.3078830676146,1.56,j912.130
1326,10.3078830676146,1.56,j133.389
1326,10.3078830676146,1.56,j109.97
1326,10.3078830676146,1.56,j835.151
1326,10.3078830676146,1.56,j159.714
1326,10.3078830676146,1.56,j808.167
1326,10.3078830676146,1.56,j138.149
1326,10.3078830676146,1.56,j131.94
1326,10.3078830676146,1.56,j129.338
1326,10.3078830676146,1.56,j130.2526
1326,10.3078830676146,1.56,j08.897
1326,10.3078830676146,1.56,j137.75
1326,10.3078830676146,1.56,j235.115
1326,10.3078830676146,1.56,j137.74
1326,10.3078830676146,1.56,j138.148
1326,10.3078830676146,1.56,j126.300
